id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:air,190590208,190590208,190590228,190590216,190590233,190590257,190590269,190590344,190590375,190590615,190591132,190603482,190596769,190599128,190600670,190600125,190598481,190597452,190596661,190596854,190596949,190596800,190597009,190596695,190596628,190596819,190596128,190596175,190596028,190596242,190596519,190596033,190596096,190595892,190595871,190595983,190595533,190595535,190595704,190595482,190595231,190595201,190594930,190594852,190594747,190594643,190594608,190594137,190593875,190593489,190593527,190593852,190593825,190594133,190594261,190593854,190593643,190593315,190593162,190592713,190593042,190593254,190593054,370852699,376435834,388891931,399327193,411302965,425231721,440053085,454631309,468403829,480842002,489164809,496245356,502845181,508967593,514805844,520306600,525546267,507776066,511235044,514223354,516911083,519241924,521420139,523351535,525371081,527506863,529201483,530609915,531951971,533088714,534152224,535054320,535859384,539057992,539668739,540275544,540843562,541325045,541761778,542134930,542472540,542754014,543040982,543359458,543642905,543887187,544109375,544303891,544478603,560420665,560569613,560736329,560877772,560999233,561107719,561202661,561283779,561354247,561425128,561522863,561605694,561673088,561729331,561775344,561812647,577607961,577639262,577678826,577703890,577721185,577734415,577743716,577750243,577752276,577761476,577770805,577777635,577783626,577788415,577792401,577795822,583386535,583394684,583401709,583406745,583411127,583414489,583417273,583419543,583420644,583422933,583424705,583426005,583427254,583428138,583428916,583429733,585024355,585026737,585028045,585028808,585029385,585029909,585030166,585030241,585030331,585031059,585031612,585032315,585032744,585033086,585033430,585033718,585387010,585388186,585389062,585389985,585390681,585391209,585391441,585391610,585391124,585392515,585393150,585393316,585393465,585393479,585393505,585393276,585429888,585430191,585430517,585430666,585430819,585430931,585431000,585431101,585431130,585431575,585431954,585432298,585432579,585432843,585433057,585433188,585438892,585439016,585439061,585439148,585439165,585439214,585439278,585439299,585439273,585439307,585439339,585439365,585439378,585439377,585439345,585439329,585439318,585439327,585439328,585439326,585439320,585439307,585439293,585439288,585439275,585439345,585439376,585439386,585439401,585439402,585439410,585439398,585439381,585439418,585439456,585439509,585439570,585439626,585439689,585439759,585439851,585439967,585439973,585439973,585439984,585439910,585439974,585440000,120608699557,81.6356609385,N/A
minecraft:stone,11264,63650748,122971393,183902297,244485738,304694274,303908908,303244682,302677496,302129012,301605838,301156514,300665226,300450073,301310690,302151787,302024747,301580793,301176117,300831350,300536096,300294672,300118316,299941848,299792823,299724482,299762516,299829266,299722298,298538748,294547544,287134036,284632755,281815077,278697875,275332159,271889947,268487933,265175125,262033689,260860452,259886761,258864360,257212021,254000494,248104911,239434721,229459748,226145693,222895102,218960903,214974428,210497989,207133324,204510683,201535734,197342077,191026928,181541003,167897871,148417352,131601631,119217137,107465232,97751060,87525028,77269493,67557825,59046461,52446412,47437198,43086947,38993140,35157788,31744556,28444826,25431590,23280547,21972903,20689616,19031348,17517275,16025571,14584513,13201479,11986605,10971478,10045903,9183497,8407004,7704515,7073357,6509302,5987810,5492601,5039282,4627243,4241901,3896172,3590041,3317097,3062383,2817678,2588152,2374108,2151344,1954401,1780752,1627311,1485277,1348486,1224783,1113230,998190,897995,811139,734851,658387,580016,508444,445591,379712,323864,280479,246605,217282,190495,168371,150973,130268,115427,104340,95304,88466,83854,80865,78774,73154,68685,64757,61418,57384,51880,47493,43670,38808,34717,31115,28510,26708,25275,23867,22676,21550,20511,19642,18830,17743,16557,15459,14764,13726,13025,12429,11937,11725,11732,11681,11383,10854,10489,10202,9946,9324,8369,7482,6782,6176,5640,5141,4788,4460,4034,3671,3618,3318,3240,3210,3199,3237,3232,3305,3608,3459,3346,3251,3165,3005,2746,2493,2266,1951,1615,1284,1082,983,907,845,766,683,620,553,538,569,600,600,585,559,526,500,499,530,585,617,627,625,630,649,658,670,628,599,589,573,554,534,526,512,498,498,444,390,331,268,186,53,0,0,0,0,0,0,0,0,0,0,16850922594,11.405779255,63.9555066971
minecraft:water,0,0,2433,24130,87212,83367,90355,86918,95993,109690,112256,4834872,3598914,3868893,4098826,4286122,4452285,4603365,4724511,4830889,4948694,5027957,5117522,5197667,5271173,5312797,5333733,5337332,5344485,5607382,7123547,11575185,19656638,23484540,27968691,32129412,36582604,41239333,45981386,50530787,55231666,57852482,60123267,62175741,64972366,69264949,76352655,86511370,98488965,103770318,108044994,111634558,114900327,117865189,120714361,124248756,129225412,132333159,135662916,139560128,144838939,152825669,163583725,351792,319774,329271,361169,364301,342603,307584,240803,153020,130206,119914,117910,121301,121300,110806,89876,54493,48683,36422,32813,30596,32700,37930,40614,23940,20522,21647,19214,17640,13171,10976,8483,6699,7790,6745,6796,5574,5151,4220,3470,3682,2793,2417,2624,2506,1897,1492,1363,1571,1159,978,954,732,626,669,765,692,753,359,356,453,164,286,227,298,186,92,140,147,210,79,148,243,147,101,104,97,94,87,98,103,154,82,75,74,83,143,57,55,49,56,67,49,43,39,33,32,35,30,76,114,23,22,19,20,50,93,11,8,6,5,3,4,2,3,2,0,0,0,0,3,8,20,19,11,7,4,3,8,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823055352,1.910823932,10.7145430444
minecraft:bedrock,394838528,315866817,236866715,157847742,78848032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184267834,0.8015880091,4.4947360577
minecraft:andesite,0,3641078,7040506,10519985,13996265,17449209,17406315,17377812,17329097,17270903,17228847,17216101,17194268,17174481,17234458,17309943,17318671,17302272,17284039,17256118,17236966,17230718,17211159,17206439,17196068,17194753,17194173,17197316,17208189,17126892,16902886,16488594,16336102,16148013,15959031,15768263,15576032,15375134,15170427,14989864,14942391,14904168,14851581,14755946,14566802,14214466,13703636,13126802,12924007,12733776,12512369,12294405,12041910,11853041,11717554,11547258,11306506,10948073,10407463,9637095,8522695,7550422,6831818,6155447,5609944,5024932,4430576,3876910,3393307,3021845,2735090,2479820,2240785,2017531,1822031,1633708,1392145,1016891,590724,231982,40663,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,950875939,0.6436134876,3.6089271757
minecraft:diorite,0,3506506,6779258,10151060,13485486,16799561,16753209,16727667,16707557,16661480,16632693,16600294,16564161,16558569,16606604,16646666,16613789,16586024,16576686,16581865,16574476,16555317,16548213,16528393,16512751,16511974,16508573,16525914,16509244,16434248,16233072,15843316,15715405,15550323,15367621,15199960,15026960,14812972,14614797,14435967,14384536,14343179,14284566,14191336,14019430,13703047,13231766,12673850,12485887,12303495,12099976,11884448,11636974,11441893,11299374,11123138,10872930,10518284,9996584,9255898,8185735,7262965,6592148,5947283,5402246,4824771,4250851,3718444,3258520,2902912,2626322,2381862,2149481,1938139,1747563,1568561,1333444,982167,581722,235530,42207,33,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915232131,0.6194874847,3.4736456925
minecraft:dirt,0,1251587,2427543,3632563,4826113,6006098,5974614,5949155,5939682,5939907,5935868,5934393,5926558,5917910,5907864,5899693,5886432,5877667,5864938,5848828,5837530,5833468,5836507,5838656,5830887,5831660,5840772,5846923,5836884,5765691,5635655,5531450,5472584,5423035,5371511,5303486,5223091,5159801,5098688,5054571,5025347,4995519,4973343,4927969,4845439,4707508,4526020,4395340,4599222,4797608,5785682,7014638,9163474,10606759,10898934,11579050,12297542,15475556,21178893,30093493,39450587,49103347,39274570,28181999,30539506,32586371,33389119,32567099,29891914,25286003,19756344,14814694,13130763,11667514,10536007,9694512,8960278,7905184,6400462,4992245,4558159,4040950,3626897,3361462,3205662,3003670,2623341,2138655,1960207,1780093,1608741,1438350,1265516,1126087,1038762,979451,870284,770948,687188,614578,551329,510380,496231,499781,460018,410127,366424,326606,292127,266846,256601,252541,222762,196091,173837,154243,136473,130660,138465,148595,129300,109269,93955,77633,63104,53077,50270,50586,37755,28692,23882,20334,17483,15865,14595,13549,13602,11562,10047,9035,8239,8604,11173,12949,10149,8246,7259,6868,5813,4187,3317,3356,3306,2812,2535,2190,2002,2303,2910,3453,2287,1877,1777,1712,1561,1322,1149,1084,1263,1181,1025,928,897,1194,1880,2486,2055,1759,1419,1264,1053,939,1123,1378,893,543,398,301,252,221,265,364,389,308,252,215,219,314,476,651,565,518,511,493,409,278,192,136,162,167,186,200,172,97,50,57,71,70,80,81,71,42,37,25,16,18,17,9,17,20,69,106,60,42,50,52,57,59,67,86,137,151,158,158,184,255,236,131,0,0,0,0,0,0,0,0,890228020,0.6025631075,3.3787458092
minecraft:granite,0,3367987,6520945,9767126,12990223,16199838,16145530,16095984,16059719,16038071,16028328,15996075,15949402,15927338,15974811,16042306,16033159,15995188,15972843,15943735,15938237,15932051,15907460,15908229,15921924,15921757,15922285,15929727,15933022,15865209,15659516,15270122,15130721,14964652,14789562,14609363,14425341,14258112,14089284,13933411,13856005,13793918,13737486,13656417,13484949,13157773,12696951,12164787,11977901,11807271,11600657,11393397,11154717,10978161,10848282,10703037,10484288,10148784,9635687,8885750,7841378,6961324,6316894,5699376,5185399,4643996,4108627,3596137,3135391,2779286,2507366,2275291,2062495,1859957,1682231,1505688,1287237,958687,571381,230145,40973,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880774095,0.5961640881,3.3428646543
minecraft:cave_air,0,0,5686,17888,33672,285114,476639,571935,627206,713414,832041,15026499,16967353,17459635,17940688,18433021,18864992,19265013,19622116,19946267,20202606,20434926,20590128,20734518,20855421,20909320,20890169,20770766,20551508,20240222,19868814,19491184,19107335,18631862,18097906,17559134,16999440,16386778,15752618,15130203,14507387,13842285,13141403,12407883,11673455,10977455,10310918,9693105,9166264,8690782,8266458,7845400,7426083,7039489,6671596,6317899,5977019,5627652,5265685,4926748,4646804,4447918,4823970,5476576,4636944,3739399,3196397,2948604,2703231,2436095,2129977,1815517,1451972,1189405,1005482,874156,777091,699337,625136,542845,427922,347124,296452,264943,236236,212385,198121,194645,166165,133954,115129,104526,93874,82020,69263,56918,46585,42054,38274,34749,30370,26307,22752,18929,16989,15232,13407,11922,10955,9217,7555,5722,5263,4720,4160,3891,3581,3063,2628,2676,2478,2299,1878,1257,1086,586,453,268,309,290,133,55,107,282,216,73,195,245,135,56,44,29,3,0,0,104,76,36,0,0,100,90,46,0,0,0,0,0,0,0,0,0,0,0,102,88,30,0,0,0,88,66,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783629882,0.5304106883,N/A
minecraft:gravel,0,992909,1915403,2858880,3799946,4733313,4718969,4714431,4715149,4714800,4707531,4728751,4687918,4667702,4647875,4644989,4643915,4643183,4648534,4647163,4645578,4636667,4628593,4624539,4626449,4626566,4617363,4641226,4909149,6076909,8728374,11724192,7097971,7363438,7619195,7786535,7863119,7842560,7743577,7470331,5649106,5467069,5484048,5952142,7028348,8881525,10818589,11597952,6132222,5887427,5665063,5455904,5094309,4431294,3869023,3603360,3423886,3384204,3373933,3421397,3652973,2991791,2192455,1752216,1532743,1361794,1212988,1073113,954218,871528,811100,757799,702165,673507,659374,650133,634273,599679,525793,433943,342625,318700,297632,277457,255907,234220,214862,196952,180658,168548,157270,144545,134402,127086,120581,114559,108617,99660,91166,83096,76971,72323,68328,64283,62397,56474,51014,44912,39491,34886,31182,29402,28680,26545,24287,21918,20292,18821,17589,16366,15046,12801,11171,9622,8061,6668,5818,5323,5308,4084,3479,3080,2704,2450,2017,1701,1972,1699,1630,1522,1272,1015,831,650,603,537,501,409,396,413,346,285,214,156,113,107,165,220,224,287,326,337,305,316,335,352,289,217,205,180,137,130,118,169,158,160,144,98,50,24,12,8,1,17,22,25,22,28,22,19,14,10,5,49,82,78,67,45,49,48,41,16,18,15,22,24,16,6,0,0,0,2,2,1,0,13,25,25,23,31,29,23,10,8,20,23,18,8,0,0,0,0,0,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352362786,0.2385016092,1.3373475781
