id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:air,0,0,0,0,1,5,4,5,3,13,37,205,217,348,337,334,269,220,234,215,153,127,148,126,149,187,149,169,198,146,242,248,248,233,242,199,191,179,154,236,120,97,106,114,78,90,58,103,72,46,22,13,27,69,91,55,56,50,49,51,113,198,232,22214079,24832735,26578254,27919580,29419126,31154481,32988143,34839912,36625476,38238543,39300548,40157023,40958022,41704171,42415339,43094546,43722560,44065923,44449234,44792564,45108891,45388558,45641374,45869372,46096509,46326849,46555913,46755765,46939812,47090782,47221618,47332981,47435217,47420292,47500766,47577024,47646532,47706893,47761426,47805935,47847794,47881934,47914593,47944445,47970766,47993203,48015668,48033881,48050642,48046664,48059821,48071848,48082423,48091721,48099872,48106761,48113024,48118574,48123713,48128550,48132247,48135440,48138363,48140863,48143345,48145423,48149754,48155571,48157871,48159123,48160119,48160893,48161187,48161317,48161587,48161816,48161767,48161853,48161935,48161961,48161927,48161900,48161943,48161974,48162028,48162041,48162113,48162168,48162204,48162249,48162317,48162411,48162496,48162560,48162609,48162629,48162672,48162694,48162675,48162739,48162785,48162811,48162814,48162794,48162807,48162771,48162803,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,48162816,9032817291,72.9805839477,N/A
minecraft:stone,256,8102689,15663705,23428390,31134692,38795974,38680830,38577714,38498295,38427514,38376208,38325319,38270679,38254655,38344511,38440711,38419641,38369595,38323141,38273707,38229077,38208796,38192041,38159228,38138342,38132969,38139738,38167544,38133094,37927726,37313211,36277787,35936281,35545022,35145045,34714955,34271443,33847721,33446249,33067188,32895843,32753548,32608785,32386694,32001734,31302945,30282978,29108412,28727482,28360012,27882465,27398912,26819125,26373493,26036150,25662347,25118824,24277445,23034741,21327675,18869305,16749545,15122231,13584714,12370475,11078157,9777171,8519056,7393706,6528588,5883683,5341767,4840341,4379838,3950764,3539560,3176043,2913847,2749345,2592027,2393416,2216016,2031881,1854424,1675848,1506112,1346917,1199663,1068190,946532,838818,742798,663094,596482,536070,480592,430510,384343,343822,307819,276363,248635,223941,201991,181634,160699,142295,126398,112437,100113,88696,79203,70488,62310,55547,49963,44665,39728,35242,31606,28451,25784,23316,20830,18273,14878,11358,9383,8083,5506,3272,2229,1513,1118,862,719,700,622,564,615,648,673,717,775,826,785,746,702,654,594,529,442,379,329,282,236,190,155,96,51,23,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2133504681,17.237636106,65.6920279572
minecraft:water,0,0,311,2440,9066,10234,8852,8573,9911,10837,13137,464104,416748,444226,468493,488048,507065,523844,542739,560720,582513,598201,608991,619963,632016,637474,645413,646237,658851,718837,954439,1616394,2746038,3263637,3836896,4361181,4918498,5493288,6077251,6629118,7204415,7542186,7836506,8100386,8454039,8973139,9807779,10983909,12359051,12936869,13413055,13815712,14189837,14541763,14888671,15327836,15950919,16334747,16750720,17241246,17917877,18942505,20244417,36789,27984,33808,33907,34018,33428,28887,22442,12352,10490,9725,11714,11309,10541,10783,8295,3835,2785,2234,2500,2533,2663,2961,4188,2956,2878,2245,1755,1480,1491,1009,718,298,368,418,514,456,301,175,106,48,101,77,12,36,107,292,21,19,24,32,91,7,10,14,13,14,10,5,6,3,24,49,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354870528,2.867173942,10.9266995541
minecraft:bedrock,48783360,39024589,29263195,19503265,9745503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146319912,1.1821907027,4.5052873966
minecraft:dirt,0,135975,260964,389287,519902,652854,653440,649595,647583,645330,645434,645299,640046,637093,637074,639717,644402,645728,643428,639656,636909,636100,638276,637521,638373,638027,636919,636431,633542,629180,616380,603160,596575,589642,581475,574885,565131,555425,547715,546344,543731,539682,536702,528516,519066,504555,486748,475187,502182,530876,669021,833634,1117249,1326114,1393404,1466904,1544850,1983553,2753589,3880653,5066510,6164003,4843631,3443165,3709473,3954815,4079700,4016900,3761802,3196921,2478202,1804584,1601334,1436256,1309424,1207620,1104755,957385,766871,598586,556225,497784,450839,420368,411458,404546,386364,355747,315833,275220,236885,204113,172287,142296,117778,104830,96182,85765,75917,66559,59002,53400,48720,44607,39763,35471,32131,28642,25479,22045,19524,18029,15812,14047,11977,9964,8823,8072,7624,6684,5400,4519,3998,3727,3728,4739,6189,6471,3036,1547,1068,722,423,229,143,111,206,193,156,105,66,42,28,32,40,49,50,51,59,71,95,136,125,93,55,51,40,37,52,72,83,58,28,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106683911,0.8619519107,3.2848685669
minecraft:andesite,0,397545,765418,1143844,1523480,1908376,1911153,1911240,1909295,1901372,1889255,1883133,1882164,1884704,1889021,1887416,1881946,1883905,1890667,1893884,1886466,1878688,1870616,1863997,1864759,1876795,1889473,1884118,1868679,1847055,1822486,1784791,1772369,1751564,1726023,1699826,1674553,1648130,1628416,1613767,1608095,1599709,1596501,1593324,1577587,1544448,1498241,1439007,1416574,1393185,1365223,1341779,1316257,1293703,1278169,1259912,1235123,1195372,1131523,1046472,926491,821629,743837,668822,609681,544890,476640,412108,356447,316320,287198,259523,234728,209554,187960,168079,144151,107525,64561,25636,4680,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103391054,0.8353472956,3.1834793101
minecraft:diorite,0,381298,739177,1104277,1462796,1817925,1813135,1817115,1816462,1818618,1819195,1815679,1806253,1794995,1801247,1813711,1815355,1811565,1810099,1804808,1799257,1795186,1800081,1807596,1802943,1795420,1793228,1791916,1797734,1796157,1767731,1717013,1697572,1685436,1670484,1648399,1623764,1599367,1581491,1559900,1546599,1540578,1537372,1531129,1515164,1488763,1444228,1383294,1361425,1339980,1315860,1289391,1261310,1242234,1223795,1204618,1181501,1145629,1093968,1011684,892377,791860,715943,644551,584726,523087,460155,399946,349536,309687,279125,249959,224537,203227,183984,167228,145098,107669,64524,25989,4492,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99380612,0.8029449576,3.0599951338
minecraft:cave_air,0,0,461,1711,3684,31560,52526,62957,69024,80559,95117,2037093,2159177,2208853,2261679,2313720,2359153,2405542,2444063,2483194,2516232,2534889,2549464,2572362,2586784,2587716,2560120,2524804,2496139,2469378,2429114,2367493,2317044,2267043,2205041,2142635,2081858,2011917,1927004,1843035,1769696,1693648,1604743,1506041,1411372,1328451,1251160,1183338,1124166,1067192,1022071,970976,924178,877140,832289,789926,746663,703671,653907,604559,566068,536840,578714,650952,559030,450070,380288,344919,318110,289207,249125,209281,169411,140328,118043,102786,90298,80616,71480,62901,50571,40406,33630,30226,27536,25239,22611,21597,19308,15837,13088,11060,8826,7554,6387,5401,4262,3023,2433,2314,2217,1814,1296,1021,823,683,687,643,737,841,1105,814,478,188,160,230,157,78,54,42,44,30,5,1,0,0,68,52,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96459398,0.7793430296,N/A
minecraft:granite,0,352536,681227,1014940,1350382,1679572,1678753,1684174,1682935,1680966,1672669,1665219,1662141,1661214,1670326,1675717,1677364,1672550,1662527,1658818,1661694,1662167,1661624,1665135,1663378,1660639,1661779,1664927,1668432,1657504,1629607,1573659,1553561,1537474,1520066,1500551,1488341,1473120,1452225,1431792,1420237,1411383,1406962,1398852,1378265,1347992,1298149,1247753,1231803,1214739,1197174,1180667,1161170,1143783,1123167,1099722,1074670,1041044,988068,911741,806208,714721,648233,581913,529076,474246,417402,362326,311721,273803,248222,224256,201326,181207,164461,147990,126021,93009,56163,23387,4368,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91139107,0.7363577758,2.8062337141
minecraft:gravel,0,106831,204087,306134,408929,517175,521957,524121,518312,510271,507389,509852,513078,513398,511551,511056,507747,505085,502763,502203,504262,506491,505158,502759,500032,502445,505686,513056,559009,732539,1127629,1569670,875064,898158,919883,941065,950547,948995,933110,895088,680397,652230,649580,727923,876895,1133524,1377271,1496157,741219,712333,681297,653281,613518,511106,428353,394843,376206,370918,366329,372535,394248,324205,238536,191377,167769,149728,134561,118676,107337,100760,96549,92017,86182,82460,80167,78175,73988,69583,61344,50585,38964,36852,35268,34205,32990,30669,27551,24811,22570,21859,20373,18566,17137,15813,14906,14077,13470,12387,11402,10236,9266,8149,6779,5760,5286,5056,4838,4388,3958,3518,3312,2997,2670,2399,2225,2024,1754,1542,1472,1293,1202,996,825,600,595,567,499,386,309,90,38,37,43,24,2,0,0,0,0,7,33,49,54,36,11,0,0,0,0,0,1,8,13,13,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41145987,0.3324387134,1.2669123027
