id,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,total,percent_of_total,percent_excluding_air
minecraft:deepslate,0,9599395,19024718,28511213,37969018,47363390,47154201,46955692,46800607,46697378,46638884,46550845,46464663,46371498,46258567,46102622,43529363,43413586,43273041,43103677,42914165,42683593,42314799,41748991,41040634,41282000,41426124,41471701,41446478,41362147,41224626,41049218,41118644,41334879,41430976,41496325,41519470,41524081,41461445,41324436,41014686,41197703,41239418,41242103,41192583,41139925,41062522,40931552,41054933,41384160,41494305,41555771,41564415,41522541,41445746,41342137,41122268,41595906,41720024,41473904,40835278,39901359,38803394,37685351,38303808,33248669,28393048,23672731,18928953,14188061,9448114,4717258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2767379716,33.2957391356,38.5280877579
minecraft:stone,0,0,3,18,41,88,134,140,164,181,173,164,160,177,211,216,210,208,168,152,142,123,101,69,60,56,53,54,55,51,48,50,48,68,120,194,230,287,351,394,444,480,514,432,388,298,320,297,265,322,322,348,408,350,232,189,130,163,499,500,579,874,2020,2816,3635,4752653,9469823,14197545,18921523,23628313,28330698,32999036,37573397,37786417,37852346,37850088,37821919,37754897,37661497,37538933,36531728,36865074,36973765,37048724,37099105,37141009,37130484,37052377,36900269,37074694,37132002,37158574,37176915,37183885,37171025,37118553,37227563,37362876,37134135,36726151,36148294,35496714,34840469,34245081,33949803,33732729,33489122,33199958,32771790,31917077,30275940,27968591,27001113,25943316,24496587,23052465,21520552,20462146,19684273,18995545,18401703,18072080,17859123,17690829,17546453,17460395,17327860,17001620,16423680,15969126,15528770,15108569,14718085,14398530,14125987,13839058,13518092,13223823,12929005,12630792,12338716,12071162,11812160,11547276,11438676,11207957,10984368,10768588,10564123,10365775,10148421,9910851,9653204,9446963,9251406,9061579,8893051,8757533,8634958,8499299,8410348,8248326,8092036,7938792,7794186,7664989,7542185,7410267,7256655,7100435,6949791,6805308,6659198,6504863,6340068,6173205,6083004,5945775,5819398,5702658,5592196,5480398,5363688,5241947,5099350,4958174,4824678,4701542,4591576,4501295,4422532,4340097,4309933,4214588,4123654,4035471,3940389,3827214,3689627,3541452,3399036,3289781,3186527,3095726,3014469,2953809,2911861,2864560,2836544,2768948,2701391,2635066,2568900,2505309,2444887,2385182,2323395,2266886,2215055,2167612,2124453,2085903,2052125,2021128,2008892,1971343,1932040,1892009,1850985,1798973,1740023,1684965,1630165,1587264,1552254,1523023,1490441,1444655,1387951,1333328,1294637,1240088,1196403,1161119,1134606,1121957,1118566,1117734,1104281,1081409,1060955,1042074,1024749,1012271,1002026,989715,976221,956508,938603,922262,906788,891189,875653,859850,844081,829682,816311,803840,791857,779865,766793,752988,750182,736987,723705,711087,697933,679340,655797,631590,608161,590578,573868,558666,547090,538530,533176,528021,531699,519624,509426,498625,480566,444888,393927,353724,321760,300519,285842,279139,280381,288768,308784,342063,369506,360897,353535,347144,340711,332681,323788,314778,306652,300133,293832,288544,282806,272641,259797,246518,236439,225389,217195,210657,204926,199917,196898,194143,190559,185728,181679,177346,170663,152877,128696,106048,88379,72948,61848,53748,47845,43722,40747,37260,32450,28626,25839,23804,21858,20061,18352,17356,16826,15828,15039,14304,13742,13198,12835,12839,12736,12075,11682,11378,11281,11211,11296,11049,11823,10755,9691,8643,7812,7133,6462,5726,4990,4398,3773,3067,2349,1586,644,80,2651103087,31.8967564501,36.9092581696
minecraft:air,0,0,0,0,127,785,2488,5352,9508,14599,1200747,1265828,1332925,1400392,1492864,1631902,1777577,1860244,1967304,2098524,2258280,2461966,2800237,3315569,3934228,3589114,3319189,3129720,3016350,2985153,3019849,3109351,3249480,3067006,2955967,2882078,2811322,2767146,2887864,2932395,3088249,3274334,3173297,3111205,3458243,3468088,3497111,3720533,3934728,3595265,3439242,3316131,3238615,3211259,3228627,3283614,3438527,3081993,2848876,2621333,2380791,2127918,1886563,1690051,1610587,1370897,1255896,1190293,1150673,1124307,1102468,1079892,1111533,961682,857592,801293,758759,741387,871438,887022,931793,1160165,1078445,1004509,1198907,1091345,985185,969342,912298,770773,694544,634453,592533,559208,527093,489494,454810,367784,320682,287700,267415,257083,253545,254654,262175,244857,231239,220682,212036,206191,203127,205074,209901,200576,194671,190034,187203,186631,189213,193278,200169,198484,196980,197425,203873,206521,211802,29989801,8746295,9222250,9659975,10133659,10627605,11120643,11610424,12103430,12594621,12944317,13282853,13627547,13976168,14322237,14668281,15019293,8093246,8367646,8632481,8889030,9132341,9369374,9598515,9833548,10059706,10290349,10521429,10748881,10968213,11178957,11376724,11569368,6789035,7000144,7204695,7404440,7596050,7776355,7946225,8108530,8260905,8440623,8617124,8790739,8956980,9118766,9277047,9430301,5695881,5883026,6062072,6220793,6363508,6493475,6605359,6708250,6798958,6970201,7138717,7295872,7437279,7574746,7706882,7833156,4524876,4658547,4789343,4910079,5021607,5130016,5232310,5328622,5417951,5562934,5706171,5835728,5953712,6064968,6166419,6257476,3005195,3095922,3183749,3272438,3355036,3436848,3511963,3584839,3654809,3726408,3797247,3863259,3923604,3981761,4034147,4085154,2210978,2262385,2309611,2355838,2399900,2444220,2486655,2531932,2574530,2639571,2699409,2749658,2788505,2820900,2842059,2853551,1951449,2042524,2129626,2193307,2242631,2285816,2320694,2347650,2365630,2398403,2427668,2456690,2482741,2506929,2529622,2550443,1205728,1230199,1252441,1273979,1294926,1314662,1333063,1349752,1366056,1384681,1402375,1419274,1434458,1449189,1463318,1475975,1004563,1021106,1037725,1053510,1068430,1082699,1095685,1108171,1119097,1141061,1164048,1183736,1199988,1214907,1228602,1240101,983312,1000050,1016586,1031053,1044457,1056415,1067721,1077970,1087538,1143663,1196091,1228243,1243929,1250349,1241296,1214137,743218,756998,769698,781377,792230,801355,809604,816715,822657,833292,844391,853863,860836,867257,871864,875638,504533,522477,542170,558427,569643,579361,586587,592883,596720,603549,609705,615978,621569,626805,631495,635659,373289,400102,428264,451469,470397,482275,490298,496484,500678,510581,518755,525290,531226,535900,539350,541751,99764,102720,106470,108572,109830,110923,111529,111395,110987,112093,113035,113766,114255,114602,114442,114462,33958,35195,36632,37880,39162,40376,41764,43437,44884,46001,47177,48272,49127,50014,50796,52113,1122676259,13.5074835005,N/A
minecraft:water,0,0,0,0,0,7,3,10,2,88,1079,17905,22433,29970,41220,57231,76786,94260,113088,128691,146516,169361,206073,276599,394386,448417,527647,626197,730990,828578,919103,1001823,1091114,1043651,1032266,1020131,1037624,1078457,1059289,1153978,1304386,1032837,1056176,1084587,872586,894421,927166,881598,967485,925377,957042,1020839,1095039,1167455,1236579,1299145,1385890,1262851,1275754,1336691,1459895,1652869,1917266,2254081,2673549,2744747,2875817,2981628,3060336,3129779,3201141,3303980,3454285,3328499,3332163,3363879,3432773,3524758,3508547,3646618,3836459,3157150,3069770,3035274,2770755,2829413,2952798,3056929,3306912,3232027,3211828,3200141,3194251,3212181,3263288,3346537,3478919,3298046,3485418,3852341,4390481,5088623,5886539,6691847,7472590,7817641,8156887,8473765,8854639,9381218,10368871,12222333,14909828,16101989,17258432,18406307,19581707,20751203,21896696,23028596,24114016,24939244,25727174,26495091,27258249,28052452,28054113,854,670,653,485,555,760,643,586,668,689,927,1130,1159,1454,1699,1836,2076,2499,3027,3467,4164,5199,5957,6600,7097,5810,5263,4701,4672,4304,4018,3915,4059,3961,3328,3110,2888,719,502,545,297,322,345,303,288,301,376,290,283,217,187,313,292,455,555,679,810,949,900,834,738,632,594,618,619,286,224,199,250,299,328,470,535,279,129,199,228,104,140,110,49,54,45,91,38,35,42,42,38,48,69,110,85,38,34,33,66,27,24,44,27,28,18,30,35,31,42,30,34,48,22,24,27,35,30,23,19,39,24,43,27,33,19,25,19,24,16,11,11,7,0,0,0,0,0,1,0,3,6,1,1,1,0,1,1,0,0,0,0,1,2,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592500922,7.1286770017,8.2489321532
minecraft:tuff,0,537596,1128916,1713267,2287771,2855643,2840595,2833248,2826067,2816531,2807778,2804112,2804013,2800894,2797895,2793539,2787692,2789924,2793396,2798316,2799895,2797226,2784259,2755252,2709351,2721256,2730749,2736085,2729057,2720367,2707439,2687886,2667184,2685948,2701945,2711650,2720483,2711239,2689882,2665330,2630127,2635994,2638298,2639017,2640971,2640354,2631398,2621463,2603130,2623210,2629320,2630045,2623855,2617141,2602564,2587871,2570654,2559265,2569148,2555856,2421870,2128959,1718120,1257394,806991,427624,151681,21605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163433601,1.9663519659,2.2753596427
minecraft:bedrock,51647744,41317933,30994972,20654073,10330690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154945412,1.864226289,2.1571851512
minecraft:andesite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23661,160017,452057,858281,1315072,1762051,2145628,2447491,2597398,2632149,2633089,2623030,2608221,2592972,2572526,2582690,2592486,2602824,2606715,2602015,2594656,2586978,2571217,2590162,2594701,2599766,2601348,2598468,2600527,2608528,2610129,2630280,2644400,2647772,2644748,2639958,2638056,2631224,2618398,2620071,2600486,2563302,2516485,2466603,2420575,2378647,2355851,2344596,2322657,2298967,2266173,2204889,2089119,1927739,1850111,1781929,1689157,1598429,1497959,1424198,1369002,1304158,1181509,1006355,792075,570508,369628,209507,106006,66947,69452,76898,78847,77775,76416,73919,71605,68271,65331,62505,60135,58287,57831,57487,57693,57846,58364,58259,58541,58008,56640,55068,53031,50488,48488,46680,46144,46214,45716,45542,45308,44162,42804,40817,38396,36297,33986,32875,32450,31907,31623,31210,30918,30112,29714,29327,28541,28063,27901,27227,26190,25289,24941,24961,24646,23968,24008,23804,23787,23383,21904,19482,15512,11022,6936,3427,1133,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145051005,1.7451816951,2.019432974
minecraft:diorite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23683,162138,451905,845744,1283309,1701778,2051660,2321685,2451687,2474378,2473664,2475735,2471078,2464786,2451901,2467585,2477730,2481485,2476974,2469914,2462734,2456590,2444019,2470805,2479511,2483147,2483181,2476264,2470393,2461999,2447304,2452399,2459893,2474664,2486457,2493201,2491105,2483257,2476058,2480868,2454630,2414999,2372952,2326755,2275938,2228383,2209648,2195893,2182969,2173609,2159529,2112110,2007294,1855677,1782645,1712167,1614232,1515027,1414123,1346016,1295153,1234218,1126844,970229,772387,561108,368357,210415,106779,67540,70133,77077,79760,78669,77106,75004,71998,68496,66752,65188,63416,62031,61380,60086,58088,55704,53512,51485,50177,49405,49257,49596,49498,48882,47568,45344,43551,42045,41128,40614,40388,39528,38350,37577,36757,35815,35988,36587,36578,36042,35825,35249,34949,34574,34440,33760,32085,30163,28322,26915,25352,24545,24183,24409,24906,24869,24668,24524,24230,23440,21758,19091,15569,11651,7487,3898,1363,188,9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137759286,1.6574513514,1.9179160091
minecraft:granite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22744,161937,445209,829583,1246079,1639068,1985149,2230155,2348914,2377776,2386617,2390657,2389882,2381994,2366919,2376701,2376980,2377566,2378789,2381383,2383407,2385451,2377329,2414801,2437059,2453779,2465721,2472452,2470192,2459443,2437328,2442164,2441181,2442489,2448283,2452075,2450678,2445126,2427140,2435457,2420800,2384423,2341828,2287160,2229532,2173170,2142270,2128854,2123275,2110061,2083773,2029715,1924747,1773128,1699502,1627282,1537398,1453406,1364592,1299123,1246713,1188968,1088677,940071,753804,553149,363415,207548,103939,63436,65543,72340,73619,71450,70280,70007,69724,68453,66575,64849,63102,61438,59999,58546,56877,55273,53481,53189,53165,52960,52869,53275,52964,51180,48130,44914,43450,42243,41268,41221,41917,42249,41767,40640,39134,37801,36808,35788,34905,34058,33710,33931,34017,33729,33034,31404,30229,29061,28475,28516,28513,28453,28460,27456,25832,24446,22655,21195,20249,19601,18929,17303,14350,10500,6691,3520,1316,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134232657,1.6150207018,1.8688174807
minecraft:dirt,0,7,42,169,426,765,878,935,1263,1046,1083,1273,1474,1511,1592,1676,1962,2034,2037,2089,2025,1657,1201,790,729,776,928,1125,1163,1170,1128,1174,1152,1159,1221,1322,1485,1583,1674,1598,1708,1798,2027,2218,2290,2270,2085,1992,2261,2270,2079,1817,1694,1489,1349,1140,1398,2486,4131,5264,31367,142323,321867,502485,611578,638778,632312,625827,622939,621349,621915,621653,620548,625271,624297,625937,626005,625942,626340,623801,622098,627975,631070,632163,630423,630727,631728,630966,628323,630115,636685,648134,652672,653012,647883,641851,630901,625006,616644,610812,603278,596447,588821,582689,575755,569010,563741,558629,547885,526005,504504,488778,633825,769374,1286551,1703408,2275189,2609171,2693978,2581511,2457206,2418558,2441588,2503719,2513948,2538459,1689773,1411463,1475279,1508978,1519297,1511783,1473698,1363863,1207385,1066757,1100985,1100853,1097797,1096177,1085629,1047739,1000120,961739,959871,942299,923075,901940,882957,869720,877428,914066,934452,926310,906735,885614,850510,791655,728912,694385,726359,704138,682305,663718,645209,620206,598774,593203,607292,599157,586131,574033,565523,574312,601131,632478,610322,574939,546413,521135,501323,502356,521326,556412,566977,546106,528338,510977,491520,461016,432054,415880,424887,408812,395011,381613,374951,388062,424863,477884,470787,441613,418285,393638,367100,326125,278876,245261,263527,255648,247079,240523,235369,231099,226678,223956,222259,213598,204377,194304,183373,172842,161235,149023,142728,135431,131956,130139,131183,142068,161083,178138,162280,147048,132125,119621,118131,139013,180569,228076,213478,183619,161579,145824,129414,109606,89511,76756,86621,83542,79999,76680,73143,66905,59825,56019,60640,60017,58489,56006,53633,52226,52234,53427,51477,49299,47353,45020,42971,42019,43267,46106,46065,43944,41772,39853,39615,45876,57497,70899,67324,62734,59706,57616,53300,46875,40123,35363,37541,34038,31409,29914,36817,61666,103260,134636,101188,75064,57412,42552,31886,24163,18502,15553,24377,22858,21381,20020,19376,20869,23930,27299,25393,22268,20010,18208,17885,23374,32530,42944,38008,31041,24855,20367,16512,14664,12912,12321,12200,11721,11218,10888,13140,26931,47976,67297,56189,43152,29461,19181,13709,10352,9301,10240,10277,8193,5504,3183,1858,1577,2130,2412,1900,865,604,483,411,466,606,789,716,511,375,345,314,338,459,767,1006,966,929,836,644,318,214,151,77,11,0,0,0,0,0,0,132014852,1.5883371728,1.8379406967
