id,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:deepslate,0,38304544,75919830,113749391,151525909,188958753,187866115,186651278,185494807,184746602,183946639,183043552,182093101,181083863,180073718,179078836,169547375,169472378,169102379,168416021,167401858,166156004,164794587,163388524,161802122,162673417,163218701,163471077,163410192,163069071,162498329,161719594,161891236,162771384,163302158,163594809,163645024,163487102,163017266,162228989,160758533,161479203,161867089,162019082,161893751,161600696,161052556,160134330,160303726,161424774,161937383,162190760,162189214,161971925,161535969,160821205,159410023,161107812,161769963,161014192,158597864,154950787,150505524,145851515,146428386,127303502,108898071,90908571,72767052,54526879,36285117,18076885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10838198874,36.5440144507,41.970465199
minecraft:stone,0,0,0,0,0,0,0,0,0,0,23,7,1,2,0,8,8,8,4,7,1,0,4,1,0,0,0,0,6,0,3,1,1,1,1,4,19,66,63,86,153,97,60,105,183,105,81,112,89,70,68,104,208,198,147,209,455,529,750,902,1351,3677,8499,12105,14012,18191825,36309030,54539276,72704936,90815268,108780172,126487950,143516550,144889939,145485124,145737710,145742552,145516909,145127869,144572145,140989963,142840562,143588219,144047023,144255478,144427535,144338957,143919895,143070985,144189796,144711286,145062642,145312253,145456095,145483802,145296976,145143779,146094967,145517003,144043073,141916207,139437169,136904172,134558917,133330707,133384838,133077831,132570550,131602199,129199065,123951228,116144300,113137382,111007649,106983413,102676341,97934710,94563356,92137642,89983839,88127174,87154852,85512936,82246629,77483906,72887755,68802895,64076473,59164794,54313034,49469922,44779905,40652791,37612770,35473897,33669243,31982307,30624018,29142346,27569716,26107420,24997541,24145754,23357330,23084601,22436547,21642141,20720264,19792675,19008975,18357884,17706623,17003011,16371338,15596854,14742503,13926073,13289547,12801765,12342409,12170733,11744053,11213358,10605400,10014054,9534873,9152461,8777327,8371631,7977386,7493723,6952166,6423709,5996364,5669606,5365143,5217707,4884476,4500150,4079077,3672556,3356461,3123615,2917189,2716969,2534111,2346604,2161552,1992370,1862283,1763555,1677442,1639836,1560614,1475269,1382347,1292840,1219297,1158398,1104075,1052263,1006717,957422,907650,859916,817592,780361,745559,733513,709949,680417,647877,614175,584579,555811,526625,501567,483155,463481,442515,420414,399023,379673,361302,351997,339542,324847,310366,295369,280241,265312,252137,241573,232472,221460,209783,198417,186972,176690,166898,160250,152844,144604,135438,126711,118729,111027,103438,97157,92058,87256,81967,76692,71922,67418,63212,59904,57227,54321,51097,47831,44774,41977,39270,36505,33803,31097,28704,26553,24720,22966,20968,20651,19345,17972,16644,15517,14527,13364,12067,10727,9559,8483,7566,6820,6087,5360,4646,4520,4164,3891,3634,3363,3102,2777,2440,2018,1907,1788,1678,1595,1494,1352,1193,1058,999,922,797,715,587,414,215,136,121,103,80,54,30,0,0,8648267605,29.1600495622,33.4900492939
minecraft:air,0,0,0,6,449,2766,8358,19040,34651,54041,7036725,7882640,8798081,9780589,10791831,11807413,12504333,12457362,12733176,13362884,14341457,15579171,16936040,18308287,19792562,18592528,17709278,17133782,16878652,16950404,17327473,17987906,19092533,18168270,17561197,17212129,17033159,17096353,17783815,18403383,19676323,19870588,19350863,19066862,20184450,20437121,20953658,22360356,24251907,22909373,22236456,21823661,21667819,21775731,22148962,22807838,24259022,22439721,21190204,20039019,18947359,17919274,17077616,16613415,17061952,15418295,14602624,14126023,13881957,13800813,13850425,14023544,14577381,13256195,12463835,12054460,11769875,11700584,12651129,12985392,13719242,14965428,14301791,13796494,15265349,14852993,14509431,14962968,15197363,13898692,13208367,12701033,12372323,12190210,12057119,11942319,11884153,10560997,9603651,8876238,8411958,8170002,8108078,8159257,8288621,7683652,7183292,6722310,6316058,5973540,5718802,5584686,5685610,4862207,4440742,4198124,4053321,3995035,4045626,4100159,4355778,4060399,3881736,3804743,3850752,3926525,4206238,106279404,38084826,43415531,48057596,53077903,58359718,63801725,69322723,74756304,79683950,82225654,84288527,86331051,88349440,90431822,92484853,94632962,24498817,25544710,26407639,27349646,28254715,29256338,30275470,31463192,32670429,33332335,33940213,34646857,35397558,36255099,37191255,38210217,10838449,11365953,11837818,12348859,12889307,13488968,14153111,14892061,15638159,16055164,16443065,16874748,17330248,17845923,18425609,19071592,5940495,6320582,6644824,6981981,7334185,7730854,8172507,8673172,9170446,9456080,9695431,9939256,10171643,10409585,10639154,10870705,2557357,2695327,2805794,2924272,3035768,3157038,3270560,3387631,3502453,3578337,3637297,3700464,3760574,3822888,3889670,3959869,800311,839040,873778,909299,945880,985048,1026760,1070739,1116967,1144860,1166304,1190622,1216132,1243900,1272092,1301984,334882,354462,369810,385338,400831,417366,435737,454191,473364,487620,498304,509107,520122,531762,544133,557302,173629,183476,191638,200018,208592,217713,227083,237248,247402,254336,259651,265428,271206,276938,282518,288291,81520,85884,89126,92385,95519,98713,101823,104943,108711,111572,113974,116243,118604,120931,123379,125907,36168,37813,39061,40478,42037,43607,45085,46748,48492,50018,51301,52457,53449,54343,55258,56187,13462,13950,14303,14746,15106,15481,15905,16333,16822,16952,17047,17167,17285,17417,17554,17701,2998,3060,3143,3232,3344,3470,3639,3852,3960,3973,3990,4012,4028,4055,4070,4096,3806583033,12.8349578175,N/A
minecraft:water,0,0,0,0,12,19,34,42,43,1425,8673,24520,30632,38532,51779,72844,98473,120767,146742,173967,207083,247552,301884,382541,511769,626415,780472,958913,1139508,1310378,1470952,1613473,1759658,1705335,1671058,1628412,1641628,1698256,1580470,1719041,1933934,1265206,1285071,1323015,650694,676420,721215,471723,519669,542648,559609,635314,720103,807472,896159,994848,1115448,1141334,1265886,1514137,1959569,2667689,3671250,4958752,6519154,7123096,7690230,8112732,8418888,8683982,8983223,9411793,10189007,9719375,9678736,9714292,9958692,10298648,9868658,10282335,10983070,7367322,7047031,6946626,5183160,5444017,5936740,6056727,6913409,6786322,6772205,6791837,6799260,6840971,6976495,7263321,7884180,7617165,8666569,10458481,12907601,15882296,19099229,22203342,25239255,26060324,27066831,28024944,29227114,30827137,33952644,40107124,49221534,52418406,55815179,59087308,62318804,65546900,68888223,72643519,76294624,78701029,81084859,83466784,86069233,89499958,92633449,4576,3332,3094,1353,1291,1791,1954,1561,2235,2658,3981,5179,5874,6503,7647,9511,13104,10517,13983,18787,24207,28772,32978,36069,38422,29002,28231,27595,26988,27387,28035,21650,22037,15087,7067,6981,7005,637,628,616,423,209,192,131,182,163,187,149,160,113,189,307,429,891,1765,3119,4572,2667,2950,3287,3338,3247,3286,3502,3786,2865,2569,2299,2117,2133,2186,2158,2058,1181,920,767,737,443,405,356,138,116,17,12,7,13,16,5,7,6,10,48,35,60,99,145,174,114,106,153,176,191,194,286,384,132,125,113,105,116,102,108,88,66,96,106,90,40,43,42,0,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1730290523,5.8341577426,6.700476622
minecraft:tuff,0,2203724,4613331,6963606,9261019,11541660,11484472,11438524,11421788,11421514,11408111,11391763,11367651,11329549,11289862,11244596,11193713,11228889,11231340,11207904,11174944,11133882,11071784,10989739,10887970,10963922,11019823,11051345,11064156,11056984,11015296,10937077,10814741,10864750,10902765,10938350,10973424,10952642,10900253,10821728,10677213,10698454,10694341,10673394,10630971,10569109,10488407,10391429,10266187,10343502,10387814,10413051,10413807,10393666,10351826,10293186,10203683,10179273,10239342,10184174,9644136,8466429,6823860,4982634,3177821,1676830,592279,85017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,656720426,2.2143163285,2.5431219804
minecraft:bedrock,206461184,165166288,123887612,82590963,41303833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619409880,2.0885134023,2.3986384744
minecraft:andesite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90926,632707,1788645,3389185,5199050,6966736,8446131,9637789,10214864,10337247,10337317,10325081,10302844,10263950,10187595,10291564,10347648,10366976,10367814,10357052,10336512,10287838,10197578,10318557,10378197,10424365,10457417,10471906,10473229,10449320,10397087,10479615,10517661,10533779,10540885,10531599,10510813,10481544,10432484,10492773,10452075,10355207,10197539,10006386,9820173,9655105,9565176,9575408,9552503,9527243,9475059,9308070,8946722,8401936,8151740,7990060,7698037,7387869,7053018,6818948,6642966,6417031,5919489,5090690,3994205,2803819,1727182,927601,441362,252729,243060,252454,242208,219854,199459,186270,177679,170610,163497,157425,148143,136161,126662,121068,119262,116406,113014,110868,108254,104771,99405,94452,90842,86814,82501,79672,77069,74300,72311,70128,67057,63227,59441,57512,55433,53107,49722,47371,45759,43997,41801,40000,37329,34318,31651,29646,28122,26914,25404,23516,21097,18846,17417,16410,15062,13880,12253,11026,10205,9545,8979,7842,6547,4986,3253,1594,451,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587805019,1.9819487867,2.2762499914
minecraft:diorite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91520,632832,1768720,3329487,5069621,6737977,8112137,9209621,9740208,9839411,9814964,9769957,9717282,9671909,9609707,9712118,9774863,9825107,9837083,9826816,9807443,9783918,9728647,9851527,9879659,9894458,9899566,9888964,9863352,9821548,9773483,9852118,9890962,9922796,9948103,9964563,9984758,9992859,9977662,10053470,10004524,9903345,9749808,9566524,9369732,9191099,9089280,9086197,9064089,9039800,8992787,8846975,8501660,7977153,7730607,7574807,7313817,7031214,6727638,6510372,6356038,6146376,5673176,4908100,3886255,2750000,1707898,918183,437934,252262,243524,254049,245030,225721,207197,191758,181397,172828,164156,156453,147383,138883,133986,130621,128115,124638,118926,113224,106786,101067,96540,92059,88926,86919,84575,83209,80345,75720,71026,67156,63467,60729,57854,55845,53387,50917,49244,47220,46563,45402,43085,41025,38473,35779,33274,31051,29216,27929,26684,25464,24480,22884,20931,19583,17804,15989,14218,12343,10645,9697,8688,7745,6555,4816,3111,1609,521,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,559355364,1.8860228293,2.1660799097
minecraft:granite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89870,626877,1755349,3283473,4952835,6516825,7885582,8884754,9367139,9477252,9484802,9480062,9466705,9444667,9372012,9461740,9508750,9533501,9545217,9551029,9534833,9518442,9463954,9631837,9717191,9773803,9810002,9808848,9790817,9744703,9667142,9744282,9785837,9824866,9865617,9901051,9910514,9874376,9791661,9826248,9757369,9626885,9465039,9281780,9086346,8910736,8806918,8803258,8772880,8728628,8656966,8500924,8161454,7637244,7379277,7210741,6919188,6624511,6323102,6111633,5966927,5788313,5379774,4688033,3732027,2661344,1666873,909177,433895,252441,248279,258906,247607,227618,206362,188789,177249,166756,157338,152479,145616,138449,130927,124804,120464,116816,113305,110971,105854,100379,95996,93848,91255,87915,84170,81349,78417,75580,72463,69246,66215,63279,60194,57038,53923,51288,49201,46819,44970,42984,40743,38539,35795,32772,30012,28366,27741,27209,26285,25385,23813,21528,18595,16869,15730,14716,13337,11966,11117,10355,8943,7130,5386,3646,2191,951,215,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,544022618,1.834324194,2.1067045015
minecraft:dirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,163,382,108182,550897,1262611,1962981,2376283,2490877,2487238,2485356,2479547,2477827,2481648,2480890,2465445,2482702,2491133,2499509,2507001,2510306,2504277,2487850,2466715,2499446,2528397,2537270,2534206,2528594,2527901,2527089,2514302,2531394,2550709,2582094,2599296,2596872,2585787,2557652,2533536,2539821,2513133,2485103,2449788,2411503,2374414,2345190,2322641,2321654,2316848,2301060,2271265,2206017,2131350,2063532,2427289,2835813,4457513,6017185,8082156,9037754,8969292,8439591,7977442,8701767,10711714,14510987,18892943,23054781,18528895,13821475,13963106,13935478,13789119,13551808,12744957,10766510,7953255,5270618,4704819,4442808,4429898,4555693,4549076,4079174,3241150,2396133,2322379,2340597,2458576,2659054,2809428,2704887,2331466,1893254,1957956,2080376,2254859,2441722,2513639,2306283,1877504,1430971,1422020,1469465,1578030,1734007,1826596,1721349,1444003,1139301,1163877,1234839,1349905,1495608,1576408,1473815,1201734,899502,893478,942258,1030382,1145656,1196181,1101229,864676,615228,583374,556734,540504,530627,502904,440020,350555,262876,250813,244860,242362,241564,232456,210016,168365,125838,118012,116353,117340,116275,111992,97393,78594,60502,55465,52451,51800,52884,52262,46679,39009,31770,30246,28418,27438,26426,25054,22285,17542,12691,10396,9260,8964,9026,9012,8160,6478,4533,3907,3626,3427,3436,3450,3469,3140,2736,2108,1673,1679,1765,1639,1487,1164,1036,1045,941,890,812,709,526,386,267,248,237,245,199,158,143,148,125,94,77,47,31,24,22,30,57,34,9,10,11,2,49,216,326,251,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486577209,1.6406309539,1.884249593
