id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
87,0,355772,701964,1052627,1401035,1750142,1749677,1748800,1748768,1747497,1746992,1746374,1745530,1744276,1742942,1741561,1739537,1738642,1736141,1730936,1715567,1691545,1631078,1490782,1259695,1224749,1185005,1142031,1093041,1040255,985953,935597,888084,883569,882962,880161,874623,868252,864716,861768,857729,859033,858806,857400,854934,855609,861146,867014,871124,872725,875813,880240,885353,888409,890056,891515,891865,877997,856833,833093,807482,804059,803758,799937,805276,816579,842365,844954,843159,846229,854854,863824,867143,853774,835947,823339,813188,806111,803394,803639,801884,790760,781019,770888,760600,753546,746230,738871,735301,734688,733461,733799,734884,735976,738185,741944,746116,773842,804284,838287,883586,926310,970355,1006351,1042706,1193488,1336049,1465379,1571877,1640460,1681941,1705160,1722832,1736624,1743459,1744802,1745480,1745571,1746123,1746347,1746927,1779707,1779091,1421266,1063511,706317,352483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139393118,65.0922362366,88.9255801216
0,0,0,9001,15263,22272,29301,29717,30651,30671,31798,32384,33025,33898,34953,36398,37595,38888,38804,38584,36055,33384,29284,27038,25676,24343,23013,22213,22130,21608,20437,19732,19060,701486,705480,704563,706316,710905,718364,723690,728169,733133,731368,731016,731678,733805,733205,727951,722509,683136,681155,677747,672073,666018,664040,661002,656753,654523,659166,664482,669310,682382,694709,702715,708509,727361,728257,728989,730039,735035,732080,723710,714578,711381,725671,743523,756739,767267,774563,777451,777138,569664,580530,590312,600430,610837,617791,625384,632800,636544,637246,638499,638134,637080,635814,633707,629869,1026647,998664,968014,933849,888552,845636,801665,765263,729014,578566,436194,307203,201104,132766,91495,68190,56509,42850,36022,34673,34040,33857,33319,33141,32627,0,614,2338,4506,4974,3178,0,142491,144640,144640,144640,144640,144640,144640,144640,144640,144640,144640,144640,144640,144640,144640,144640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57394518,26.8014488659,N/A
7,1779712,1423940,1068691,711672,356191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356083,711668,1068401,1424039,1779712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10680109,4.987277622,6.8133556535
11,0,0,20,90,108,137,167,99,123,268,185,120,122,267,113,146,236,306,1390,5235,18099,43524,105723,249105,484957,519447,558227,600402,650283,704759,761113,813275,1591,1298,1516,1175,1360,1216,1265,1032,953,986,1063,1269,1138,1091,1147,997,918,922,873,927,896,965,863,935,872,818,1069,1006,1096,897,824,997,1038,879,1191,1108,1026,1130,1187,925,980,894,861,755,829,689,598,608,580,789,713,811,680,862,625,574,513,466,472,443,425,543,432,394,391,479,541,563,592,738,478,901,365,275,221,165,162,175,75,149,175,93,88,102,61,146,139,68,19,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5583209,2.6071843747,3.5617977874
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,210,842,1762,3440,7278,12399,14896,15076,12185,6938,8545,10007,10450,9623,8733,6968,5377,4891,5609,6582,7624,8063,6987,5052,3425,2263,2561,2727,2804,2792,2516,1946,1318,745,823,930,920,963,795,529,649,3160,12878,29182,46907,63378,58832,52359,41004,27016,14270,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557333,0.260257119,0.3555495498
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,19,22,117,350,670,1818,3590,3829,4167,4618,5063,5448,5863,6300,6547,6783,7159,7669,7874,8075,8387,8673,8959,9163,9376,9766,10239,10564,10924,11235,11804,11993,12203,13355,14276,13198,14520,17156,17039,16556,15472,16624,12857,8691,7509,7817,10569,8944,8341,4789,1476,1246,1201,1951,1800,1030,1095,513,163,96,136,310,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438152,0.2046033111,0.2795182527
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,18,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,4,0,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,8963,9802,11992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30833,0.0143980488,0.0196698549
89,0,0,1,9,21,34,47,77,60,45,46,76,68,74,85,88,110,79,57,76,79,42,49,56,85,64,33,23,31,29,27,32,396,430,429,298,331,258,151,158,280,243,296,287,248,203,192,236,298,371,415,425,357,269,215,228,254,286,362,257,174,154,168,167,314,346,439,552,457,428,298,277,262,249,209,176,153,120,139,159,169,225,175,138,135,134,136,106,94,103,76,126,106,178,201,332,505,631,738,827,738,780,944,1059,1574,1416,1288,969,572,329,229,225,120,70,60,49,37,49,45,54,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30821,0.0143924452,0.0196621996
51,0,0,1,5,10,34,57,56,56,71,79,81,46,83,62,64,60,67,60,58,51,39,48,38,43,47,38,37,38,25,36,46,362,273,226,202,250,286,177,182,148,134,186,195,267,211,147,165,148,150,146,174,204,217,235,170,136,152,141,144,228,127,123,116,51,112,103,269,356,370,325,257,228,223,260,276,271,249,191,147,128,202,264,255,283,224,193,198,141,88,95,107,125,107,87,86,102,134,129,187,217,240,236,155,109,63,44,67,72,61,50,51,46,49,54,56,57,58,53,56,52,0,4,13,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16158,0.0075452818,0.010307966
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,52,117,137,655,714,298,247,558,748,378,612,661,557,410,508,450,41,273,324,308,46,88,119,24,80,63,83,29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8595,0.0040135968,0.0054831642
