id,-64,-63,-62,-61,-60,-59,-58,-57,-56,-55,-54,-53,-52,-51,-50,-49,-48,-47,-46,-45,-44,-43,-42,-41,-40,-39,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,total,percent_of_total,percent_excluding_air
minecraft:air,0,0,2,3,429,5814,24443,65837,132599,219980,24340079,27269468,30388402,35501732,39654588,43632681,46213317,46084069,46944846,49425367,53014670,57402886,62139908,66879831,71947307,68097762,65290688,63524504,62848446,63232056,64590429,66756441,70268265,66727452,64520651,63311729,62773074,62975539,65360039,67578912,71749088,72119108,70142376,69046343,72470076,73137037,74653703,78854004,84638603,80182859,77924246,76439745,75869247,76218113,77373576,79506173,84158140,78257890,74106861,70200274,66567278,63177293,60510462,59086032,164262932,158655624,155732934,154047463,153149413,152797877,152880768,153391110,155243177,150681684,147849788,146329925,145319903,145040679,148390223,149540787,261811527,266298671,263996609,262137295,267348750,265792769,264478509,266149535,266875448,262303380,259843262,258072487,256930074,256200053,255657934,255120883,363916990,359090138,355617437,353044316,351368998,350495676,350225475,350357494,350824885,348701029,346977879,345384074,343973896,342804658,341926870,341444168,449144918,446324879,444980745,444224369,443761756,443555360,443707011,443861086,444736276,443699982,443127395,442896517,443087429,443353942,444223681,799575744,664780275,685757809,701033448,717779154,735932393,754768900,773748324,792778053,810400744,821135731,828895445,836699275,844251304,851976798,859411808,867177993,734700198,739248867,742662200,746299463,749684817,753382620,757024496,761198123,765406442,767960142,770060660,772514691,775047811,777908529,780963132,784379719,783325412,785332709,786934098,788716352,790602597,792660726,794875503,797380931,799915277,801511760,802789647,804227259,805773419,807539605,809501462,811722759,870734450,872149832,873213100,874361269,875541558,876857913,878269189,879812127,881323441,882347655,883095862,883869437,884621169,885395005,886157430,886985978,1235681641,1236221517,1236617012,1237033036,1237425480,1237829705,1238238380,1238672575,1239070380,1239366402,1239585396,1239812063,1240028956,1240260885,1240492166,1240745184,1851047432,1851219692,1851343646,1851475870,1851603907,1851745937,1851888670,1852046965,1852202720,1852318022,1852400308,1852484952,1852569263,1852658969,1852753851,1852857832,2580430053,2580505039,2580562521,2580618425,2580674835,2580735727,2580800119,2580869326,2580938489,2580986341,2581024812,2581062573,2581099667,2581139104,2581181249,2581222598,3358627705,3358662343,3358691188,3358717490,3358742322,3358767664,3358793995,3358821424,3358848457,3358866861,3358880975,3358895705,3358910456,3358925567,3358941184,3358957261,4166398409,4166409272,4166416789,4166424467,4166432914,4166442045,4166451525,4166461789,4166472469,4166480590,4166486856,4166493383,4166499795,4166506525,4166513098,4166519892,4986216666,4986222101,4986226515,4986230631,4986234529,4986238954,4986243767,4986249145,4986255227,4986259006,4986261830,4986264453,4986267439,4986270829,4986274680,4986278578,5809832568,5809836315,5809838834,5809841277,5809844231,5809847087,5809850146,5809853278,5809856769,5809860151,5809862746,5809865477,5809867807,5809869968,5809872290,5809875270,6634940666,6634942269,6634943205,6634944254,6634945489,6634946984,6634948743,6634950959,6634953624,6634955321,6634955819,6634956493,6634957861,6634959866,6634962216,6634964601,3035,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,3072,564735749769,86.0210972105,N/A
minecraft:deepslate,0,130818142,259101830,388075687,516932905,644964020,641990190,637533553,632492767,629913801,627035860,624035366,619897186,614373966,610679832,607246622,598624769,598192549,596733059,594275302,590784582,586461678,581744524,576769830,571319092,573817037,575268570,575744862,575241570,573904974,571759798,568768905,565355672,568326388,570195378,571178647,571256634,570573956,568880122,566079178,561187672,563284226,564338666,564768673,564433341,563660180,562132506,559464099,555827204,559402522,561293149,562364657,562615012,562180347,560897504,558655697,554368610,559858949,561900587,557786933,546317072,529510647,509731584,489833644,474045843,410153456,350431179,292674770,234218233,175543717,116791899,58171541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37454192922,5.7050589972,40.8666966156
minecraft:stone,512,512,512,512,512,512,512,511,512,512,691,526,531,518,489,444,1170,1180,1196,1192,1252,1215,1278,1217,1213,1318,1289,1276,1237,1299,1368,1326,1524,1554,1612,1541,1670,1806,1642,1659,2127,1682,1896,2251,1835,1828,1850,1766,2249,2216,2399,2562,2752,2778,2659,2448,2251,2406,2420,2753,4206,14710,37732,54138,59644,58658578,116857756,175584820,234126108,292267723,350100724,407229933,462177994,466456260,468460546,469458726,469559095,468903058,467722615,466086236,461492385,467123064,469553461,471166274,472004172,472646168,472508744,471244974,468548525,472080031,473705696,474809016,475598621,476203553,476467518,476192888,474794501,478468445,477230981,473265643,467184186,459855130,452207428,444843373,440870376,440886175,439724166,437867955,434486942,425859551,407402936,380264190,368178040,360364572,345998403,330390032,314198748,303116439,295350440,288967432,284669315,284311248,282293894,274951896,261933165,248782449,236401023,220924209,203011582,186098296,169242278,152975207,138730746,128337001,121135222,115102693,109442141,104879357,99856474,94581054,89656958,85827151,82918899,80232736,77840559,75618606,72896022,69775638,66606232,63955686,61782421,59606710,57289517,55279499,52748426,49884847,47180187,45068527,43412005,41830181,40387090,38959277,37110176,35003394,32997309,31402319,30135472,28895490,27543129,26221059,24595664,22767943,21003175,19617448,18557762,17566715,16636953,15630597,14472665,13230930,12060402,11138193,10442824,9817263,9196935,8632141,8037897,7433972,6867583,6438357,6120338,5832644,5585013,5323622,5026886,4710554,4404334,4150650,3925324,3718822,3528588,3368203,3192307,3007471,2829817,2684411,2565730,2454129,2359838,2265754,2160970,2044653,1929891,1826526,1734801,1645110,1565599,1503057,1434159,1360062,1285248,1218241,1161953,1109298,1065030,1026215,979844,929135,876481,827795,784087,743427,707041,677775,646769,615439,582728,550483,520339,492697,470961,448792,426795,404058,382430,362703,344380,327335,311875,300335,288234,274493,261074,249436,239270,229920,224292,217361,210350,202481,194351,186389,178751,170925,163595,157456,151402,145018,138594,132390,126636,120421,115917,112039,107800,103240,98615,94235,90262,86567,82440,79498,76145,72597,68865,65256,62120,59230,57195,54767,52132,49300,45846,42423,39400,37067,34841,32928,30794,28351,26011,24224,22996,21855,20557,19423,17842,16074,13998,12259,10733,9262,7529,5768,4041,2241,1140,633,309,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28388117034,4.3241055237,30.9745979237
minecraft:water,0,0,21,48,74,133,176,212,623,9802,221848,105279,126955,157986,199308,267581,359715,431579,515816,604755,707670,834861,1010943,1276336,1708495,2087201,2611962,3214404,3829160,4401277,4923093,5393450,5858984,5668406,5559763,5428806,5474212,5670740,5305442,5778223,6518049,4221386,4259226,4369519,2248737,2305117,2425601,1625121,1762672,1844849,1889894,2134726,2422907,2701137,2982244,3318035,3707943,3802315,4205449,5034781,6552235,8977601,12410102,16817325,22254171,24462888,26560318,28117676,29294203,30335850,31469089,32956831,35582291,34033400,33947912,34079715,34894184,36083473,34538778,35941628,38327947,26025530,24848836,24470747,18157690,19031192,20721065,20977181,24071712,23639269,23608987,23713908,23807377,24043196,24560719,25580532,27697001,26324412,29519620,34975964,42446639,51567372,61692585,71607111,81782538,84844572,88526339,91875123,96224543,102024019,113541948,136065302,169352104,182079323,194892400,206971142,218904743,230651378,242583970,255828689,268782294,277635511,286218276,294590778,303813447,315721800,324572478,27600,18632,16268,12654,12878,12897,13355,13553,15722,17189,20377,25134,28863,33084,37907,44894,56751,51683,64575,82622,103404,124882,143942,159464,175330,128725,122892,117589,111517,107492,106060,92905,98978,65981,38297,36062,35731,9492,9913,10239,2851,2153,1860,1701,1886,1929,1776,1846,1634,1337,1541,1970,2818,4300,6553,9268,12948,11727,13177,13747,13808,14000,14159,14832,15761,10933,10255,9832,8913,8584,8443,6564,6721,4147,1873,1701,1746,218,280,269,250,260,199,156,144,149,164,173,205,177,224,322,457,656,895,1018,1095,660,592,563,477,476,485,531,610,201,179,193,178,158,128,117,156,129,77,75,58,48,77,67,71,64,33,49,43,24,21,12,13,13,0,0,2,4,11,0,0,5,21,65,96,117,166,295,436,248,250,232,212,198,166,134,115,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5994405547,0.9130736676,6.540564187
minecraft:tuff,0,10042500,21055308,31830657,42379598,52838927,52640951,52431298,52171723,52002579,51828231,51644227,51356323,50975789,50722088,50485356,50233345,50321956,50355516,50305176,50161584,49953311,49671940,49309825,48864969,49083480,49218413,49262726,49243942,49153982,48961124,48677818,48261784,48560550,48716797,48763518,48707760,48478717,48173611,47790350,47258034,47456243,47555207,47601552,47572065,47446507,47244707,46924498,46429068,46674500,46781288,46848926,46835029,46767659,46606157,46379936,45974981,45999336,46282954,46057363,43629672,38295795,30862262,22522948,14373525,7587183,2692735,391279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2951689158,0.4496041557,3.2206216691
minecraft:andesite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409042,2875816,8109402,15354133,23489334,31403630,38058146,43421392,46045336,46610289,46623953,46592388,46529019,46406558,46104188,46544460,46760019,46898511,46927767,46886869,46791931,46653100,46322766,46907407,47164961,47309756,47372512,47411011,47399397,47286239,47024286,47391402,47569511,47668280,47730935,47770777,47768467,47698078,47488750,47802406,47639318,47202638,46572199,45860151,45119175,44415167,44020657,44003840,43867447,43670208,43351547,42521341,40712127,38007718,36734012,35918426,34465586,32899635,31271850,30157972,29393447,28479673,26324344,22721788,17880942,12594591,7772207,4158817,1970047,1140920,1108493,1148965,1100729,1004245,908105,833087,783388,746996,712513,685763,657930,629643,602609,580893,562411,543038,522124,504200,484162,459602,432801,413691,397077,382383,366487,352477,337275,320065,301093,287037,276782,266794,257505,248362,236391,222336,211228,202804,197828,191251,182402,172896,161269,146918,133652,124786,119069,113612,107630,100177,92439,84796,78310,73077,68281,64533,60875,57770,54350,51280,45678,37877,29038,20066,11763,5798,1825,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2662110963,0.4054953242,2.9046596014
minecraft:diorite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408440,2849342,8017710,15095323,22913424,30391553,36542675,41428158,43781586,44257636,44245356,44206860,44153842,44068715,43811231,44260100,44465597,44570236,44601320,44576023,44497649,44369773,44076176,44612948,44827256,44943606,44964777,44986094,44942503,44806418,44550359,44890061,45048520,45171564,45284000,45351267,45345750,45265856,45068139,45381883,45234227,44861124,44326772,43645109,42933816,42255124,41887832,41869615,41734786,41547705,41200167,40355153,38593752,35961510,34780288,34043139,32669232,31187531,29651886,28621518,27903153,27021524,25045983,21762005,17263428,12267338,7639254,4129641,1968954,1142332,1113721,1163240,1122394,1023120,923435,845761,790737,745308,705307,676744,646377,611926,580458,556970,538020,520994,503191,486426,467662,449762,432802,418920,408061,395811,381712,367438,347430,323993,305656,291309,281753,272179,261609,254174,246159,234239,221045,207662,197642,187248,175807,165692,155291,143773,134329,126532,120014,113421,105657,97188,89668,83201,77896,74263,70446,66342,61648,56313,51001,46460,41194,34552,27216,19509,12267,6388,2379,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2533200757,0.3858595966,2.7640042069
minecraft:granite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408132,2847304,7947060,14844555,22342729,29396693,35429784,39921015,42082094,42572827,42609679,42585258,42527366,42395943,42079546,42492414,42714899,42842668,42896522,42904912,42892059,42806946,42550341,43197054,43563365,43825512,44006975,44075132,44059034,43920402,43623480,44022357,44226508,44381801,44456059,44455298,44429555,44255709,43943912,44216889,44038597,43583373,42932504,42159129,41373304,40602754,40180389,40211293,40118598,39932956,39606178,38791034,37044650,34495688,33296875,32501073,31147242,29733723,28279069,27277097,26553953,25713611,23890164,20870628,16682024,11947870,7488394,4064300,1941542,1114042,1083384,1134796,1090850,996196,901408,832710,786110,745779,709215,681772,650184,618126,589162,565028,545586,526252,508291,497146,479707,460601,441888,424191,406836,390943,373509,359296,343219,321589,300107,284869,274606,267296,259691,253881,242857,228107,213438,202043,193233,186217,177936,168823,156460,142434,130263,122220,116163,111567,106153,100080,92447,83589,76746,71755,67076,63431,60351,57503,53984,49040,42323,34331,25886,17219,10113,4824,1372,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450836211,0.373313749,2.6741353124
minecraft:bedrock,722825216,578280289,433687443,289127756,144563351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2168484055,0.3303055947,2.3660576581
minecraft:dirt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,13,9,9,14,17,14,11,13,19,19,10,19,15,16,13,18,24,23,18,16,15,17,96,471,1208,491608,2501236,5741726,8948386,10824325,11357540,11356090,11360973,11369784,11372112,11346652,11295720,11207848,11306278,11353822,11378608,11396143,11411628,11397125,11360791,11273951,11401587,11481598,11517481,11536144,11556180,11534972,11497744,11432491,11542493,11671376,11809293,11844206,11799857,11737404,11655101,11563350,11606985,11544988,11415966,11245287,11072242,10893694,10743246,10650354,10661237,10643187,10572775,10404675,10075592,9652867,9304187,10494813,11822892,17243859,22304077,28728334,31011102,30078764,28280300,26860176,29133024,35758315,48328719,62915761,78874943,66331056,50233071,50998699,51180196,50735288,49619376,46408692,39145206,28813588,19119237,17125484,16125218,15897697,16091109,15961385,14429444,11620178,8723624,8402667,8420014,8789386,9418681,9894609,9484923,8150240,6637269,6773752,7092882,7620218,8242007,8527782,7902886,6468881,4979798,4957422,5105941,5459359,5943668,6220780,5844267,4877056,3848370,3940871,4199101,4647182,5148626,5386752,4958277,3979517,2997485,2972658,3065461,3280046,3517941,3558913,3206955,2546090,1882215,1793989,1735773,1717103,1720321,1680177,1483585,1168432,883163,841370,814845,810666,826618,814858,727643,595715,474983,441953,419463,415731,413377,400601,356300,280486,210715,200045,194590,191615,191111,188827,173472,145184,115650,109434,104409,101529,101555,99060,89395,71373,53202,46424,42747,41722,41917,40725,36417,29495,22271,20458,19839,19833,18898,16795,15483,14941,14749,11542,9112,7297,6116,4921,4059,3372,3083,3191,3076,2894,2671,2321,1947,1413,976,892,760,715,717,610,527,419,503,600,615,602,597,497,413,522,640,570,440,348,296,233,346,487,556,300,204,156,117,85,65,67,75,119,108,91,63,74,192,224,248,77,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1838552262,0.280050064,2.0060653198
