id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:netherrack,0,1672140,3298902,4946297,6591427,8230862,8227369,8225180,8223253,8219693,8216374,8216150,8217135,8214785,8210208,8207548,8205416,8203692,8199166,8183180,8145330,8029129,7666392,6880707,5724977,5564782,5387895,5188173,4962430,4720432,4485825,4270735,4067016,4008080,3952095,3907463,3866660,3830443,3801385,3778510,3754019,3734597,3713672,3696561,3681677,3679461,3685664,3696524,3704148,3718788,3744647,3781700,3830372,3881260,3932379,3982628,4009373,3998867,3973041,3951940,3942467,3993313,4026506,4040946,4062385,4121831,4223306,4214253,4202163,4190559,4178424,4177351,4169427,4137045,4097987,4047921,4006767,3981515,3956685,3932910,3913142,3892189,3865786,3833340,3809795,3803040,3800767,3803366,3801876,3806506,3807726,3813057,3821983,3832236,3849740,3872570,3884598,4049770,4216094,4383337,4540989,4679331,4800595,4908326,5011887,5619192,6254363,6862614,7379429,7731976,7936448,8049877,8116292,8195460,8210179,8212613,8213629,8214455,8216441,8218808,8221091,8359651,8358678,6684331,5008024,3335298,1665656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658668866,61.5555920277,89.0965150892
minecraft:air,0,0,41318,67098,96347,127973,131349,133397,135507,138839,142230,142707,141443,143504,147874,149930,151666,151134,147996,140157,127130,112522,99840,93138,87950,81737,75006,68730,65035,61749,61300,61981,4260589,4319744,4374595,4419586,4461578,4501895,4534274,4559912,4584837,4602134,4620402,4635930,4650605,4655433,4653049,4645033,4639417,4622790,4596140,4559060,4510901,4462412,4414719,4367344,4333339,4311381,4289959,4265470,4235529,4202018,4171561,4145627,4127683,4126528,4130156,4138227,4149009,4160427,4173514,4175369,4183990,4216674,4254738,4303710,4345513,4371341,4396340,4420691,4441410,4461893,4487787,4519034,4542939,4550254,4553401,4550935,4552361,4548761,4547427,4541875,4533253,4523289,4505805,4482896,4470723,4305887,4139706,3972426,3814548,3675818,3553688,3445074,3340132,2734016,2099677,1492565,977059,625420,421503,308051,241755,162982,148396,145968,145082,144486,142240,139970,137733,0,988,4269,7838,8861,5421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330763362,30.9113359079,N/A
minecraft:bedrock,8359680,6687540,5019095,3345849,1671187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671049,3343786,5015482,6688579,8359680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50161927,4.6878595196,6.7852803078
minecraft:lava,0,0,202,233,398,341,383,513,346,523,560,320,515,676,642,802,598,488,1386,10594,40556,156374,529458,1331873,2513288,2674447,2854106,3059534,3291537,3541919,3781824,3999742,6061,4759,4999,4759,5430,4869,4883,4695,4234,4194,4284,4351,4524,4187,4037,4016,3745,4374,4843,5045,5589,5328,4353,3612,3380,3397,3927,3651,3614,3566,3611,3722,3190,3476,3849,3910,4885,5250,4520,4264,3658,3505,4163,4576,4142,4004,3923,3551,2680,2911,3225,3754,3448,3041,2282,2560,2683,2200,2253,2243,2101,1969,1958,1626,1398,1452,1477,1368,1450,1664,1519,1292,1088,1015,995,844,754,848,627,734,767,525,482,476,404,242,311,248,229,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28062257,2.622545155,3.7959123822
minecraft:soul_sand,0,0,0,0,0,0,0,0,0,0,0,0,0,94,339,677,1317,3805,10577,25237,46168,61167,63576,53558,33125,38416,42386,42948,40388,35268,30494,26370,22848,24559,25244,25170,23460,19892,16869,14422,14309,16583,18969,20284,20337,18059,14379,11528,9554,10344,10416,10061,8950,7580,5502,3762,11373,43978,90428,136188,175734,158944,156332,151064,137160,72340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2062532,0.1927529672,0.2789936233
minecraft:glowstone,0,0,29,37,66,170,217,213,216,226,152,157,228,239,278,338,254,201,205,228,187,166,104,113,91,96,88,94,83,90,84,77,830,985,1041,1026,889,847,808,768,963,1042,1100,1072,1169,1239,1176,1251,1635,1853,2020,2056,1730,1413,1167,1030,1137,1073,1133,1153,1107,862,771,840,1163,1323,1481,1557,1618,1466,1239,1016,1002,1071,1171,1331,1208,1006,1028,1063,1296,1361,1401,1639,1570,1366,1175,914,1073,1099,999,1126,1032,1001,1118,1596,2135,1988,1815,1872,1963,2192,3188,4338,6006,5211,4354,3340,2052,1090,723,554,414,305,223,261,200,177,271,235,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126594,0.0118307833,0.0171240586
minecraft:gravel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,1,1,0,0,0,0,1,2,4,2,1,1,0,2,2,2,2,0,1,3,12,0,1,0,0,0,2,7,4,2,0,1,2,0,5,6,8,8,23,23,16731,27523,33368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77794,0.007270202,0.0105230028
minecraft:fire,0,0,3,22,60,150,236,240,228,229,209,206,218,234,228,249,250,212,220,209,195,194,158,170,147,132,137,140,127,123,94,152,1449,996,1026,997,1021,1052,894,804,730,641,757,833,809,766,777,809,701,906,999,978,1284,1118,931,838,644,597,721,789,728,432,419,384,223,254,283,1030,1161,1247,1241,1032,932,842,957,1179,1265,1063,1098,949,722,797,895,1144,1145,1137,1272,1215,1076,650,737,791,795,747,619,611,484,346,368,426,466,398,384,415,329,161,182,174,216,182,239,258,283,278,248,236,241,200,230,259,226,0,7,15,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68371,0.00638958,0.0092483768
minecraft:brown_mushroom,0,0,68,77,103,97,60,57,66,84,61,80,61,71,42,54,87,71,54,30,68,51,47,74,54,38,28,33,42,51,19,0,395,229,286,287,268,294,232,260,275,194,206,307,262,264,271,239,288,274,310,351,349,212,265,250,212,169,218,227,229,246,204,170,156,281,255,284,340,337,282,229,265,233,292,406,357,325,265,183,177,228,234,314,340,406,407,275,258,232,217,245,254,192,204,168,163,111,116,127,120,140,178,116,117,39,60,72,79,65,66,104,61,81,70,59,44,67,92,90,50,0,4,8,18,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20961,0.0019589005,0.0028353428
minecraft:red_mushroom,0,0,63,65,81,80,61,62,53,55,69,46,55,44,46,60,78,54,61,41,41,54,43,28,42,27,26,22,27,38,37,0,387,252,297,300,287,314,263,252,243,231,216,245,222,199,257,217,163,280,204,290,369,291,278,181,181,166,187,178,214,208,205,161,163,203,274,320,395,337,344,276,299,256,312,416,351,345,250,224,225,227,291,360,336,357,330,344,286,211,278,303,239,231,188,184,162,105,87,107,128,117,113,102,104,37,38,51,66,64,71,79,64,37,73,54,76,49,71,59,80,0,1,8,9,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20391,0.0019056314,0.0027582403
