id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:air,0,0,284,6444,13564,15194,14643,15809,16088,14747,13581,384084,396163,392687,390543,385971,382758,377036,374177,372418,368868,364319,358808,350456,344660,338102,330409,320913,313144,302782,297077,290355,282279,277129,272636,273242,273500,271829,262631,254795,248101,240578,235111,230528,225082,221792,215388,210926,209323,207877,205661,201078,192647,183400,175425,167049,155025,141350,125545,110051,98549,91302,86543,93863,3335835,3655844,3925069,4217892,4529369,4857334,5202474,5579698,5968766,6152920,6321223,6489123,6644942,6779807,6892409,6986324,7069305,7144600,7208419,7263589,7311342,7352309,7387646,7417770,7444849,7471892,7495290,7516714,7536436,7554235,7571075,7586749,7600883,7617879,7631928,7643438,7653225,7662464,7671219,7678255,7683614,7691275,7698284,7703878,7708144,7711126,7714004,7716208,7717749,7719094,7720425,7721552,7722288,7723002,7723690,7724293,7724818,7725234,7725483,7725609,7725735,7725784,7725809,7725822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466219779,47.1450297527,N/A
minecraft:stone,0,1512100,2809043,4065157,5306994,6594002,6585307,6581201,6579792,6579269,6579654,6579332,6578922,6580647,6580213,6579608,6583706,6596146,6620012,6641531,6648615,6650761,6657517,6663571,6670069,6677871,6683278,6691084,6700589,6709429,6716628,6723208,6727082,6732600,6740198,6744563,6746149,6748030,6752090,6758041,6768716,6779271,6786605,6787260,6788744,6791143,6796386,6805802,6805603,6789930,6747300,6662139,6527799,6377438,6218732,6027187,5792235,5497331,5115586,4663576,4178974,3782277,3480062,3193878,2893665,2560715,2222472,1872309,1538753,1287593,1122293,990276,874140,773587,684098,604416,537223,480951,431921,388769,351646,319357,290722,265298,242483,220366,200209,181650,162938,146461,131877,118245,105273,92589,79761,68994,59589,51244,42915,36108,30304,25289,20090,14632,10263,7072,4944,3412,2285,1564,1204,895,687,568,504,391,178,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411393172,41.6008590961,78.7075631703
minecraft:dirt,0,18332,79780,187418,306010,401271,399014,394039,389063,389352,391656,390951,392476,393552,396418,397320,397456,397247,395102,393966,392527,395506,397123,398856,398916,399557,402364,403413,404018,404546,404738,403220,402916,402104,400970,400140,400244,401839,402531,403383,401478,400570,401342,404667,408304,409115,408422,406357,407838,422862,460057,540438,673223,812896,928142,1006080,980356,1034839,1032027,987629,900649,905799,863098,612869,764801,968596,1003162,1023312,997609,876557,661612,428043,383761,335424,289128,249714,215092,185581,162101,140325,121654,106498,92995,82340,73418,67504,63755,60620,57544,54195,50013,45559,41379,38716,37956,37031,31421,27002,24635,22094,19257,16859,15965,16923,14684,11464,8496,5873,3997,2376,1322,850,631,439,258,304,432,499,330,152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40280650,4.0732558511,7.7064764809
minecraft:bedrock,7725824,6180684,4631789,3084452,1540834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23163583,2.3423455179,4.4316466493
minecraft:gravel,0,8994,40533,93093,150379,195063,193053,192006,190068,189050,189757,190095,189186,189267,189835,192411,193383,192859,192944,192674,193825,193957,192818,192400,191621,191072,191392,190614,190323,189570,189282,190284,194175,195370,195921,195299,194383,193657,196725,198613,197151,194753,192351,192515,193384,195065,195278,193111,192434,192581,194018,191586,186509,182500,179620,176366,174305,178211,188816,199047,207572,195765,176292,113763,94385,72869,62534,52520,42951,36197,32678,28450,25335,21569,18653,16866,15582,13937,12277,11119,10296,9448,8562,7949,7164,6485,6064,5721,5195,4384,3849,3315,2906,2494,2370,2064,1708,1256,901,737,848,836,686,486,318,209,166,128,99,88,67,60,53,60,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12163879,1.2300345528,2.3271880526
minecraft:water,0,37,178,398,387,443,190,398,457,312,367,20386,8193,7392,6777,7750,7447,6585,6123,6143,6062,5784,6003,5350,5448,5050,4471,4481,3929,4397,4253,3888,3846,3498,3403,3419,3325,3030,3167,2986,2788,2755,2256,2228,2269,2258,1888,1795,2192,1862,1713,1732,2184,12923,60381,184333,435677,567425,743048,968368,1254439,1617207,2068736,2365656,810,567,567,504,592,456,515,491,468,198,251,177,165,152,155,126,85,87,72,65,58,43,44,23,25,21,13,15,13,12,9,10,8,6,4,3,4,2,2,2,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10478694,1.0596254442,2.0047791895
minecraft:sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,229,843,3010,9628,23168,40491,55627,65728,70790,97366,220303,440757,723843,1017780,1067237,973860,742738,405212,258432,113887,130773,143489,145908,129282,97431,58504,54198,50585,47406,42914,37391,32102,27753,24478,21295,18153,15230,13471,11902,10667,9329,7709,6070,4925,4341,4077,4080,3691,3090,2561,1648,1120,726,411,174,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7497899,0.758201791,1.4344947835
minecraft:coal_ore,0,2096,14103,35179,53729,67437,67650,67943,67893,67119,65558,65077,65124,66442,67447,67224,66907,66568,66664,67168,67601,66521,66470,66820,67180,67295,67296,67190,67723,67159,67241,67964,68504,68841,68118,67658,67842,68066,68391,68218,68394,68528,68056,68368,67639,67890,68268,68482,68001,68061,68326,67226,65359,63517,62197,60446,57723,55408,51699,46686,42199,38844,35792,32154,29693,26518,22767,19156,15291,12528,11186,10004,8949,7672,6767,6486,6043,5105,4443,3985,3618,3313,3084,2623,2475,2477,2276,1916,1678,1480,1253,1129,1044,956,832,739,592,553,493,390,333,255,161,131,108,76,39,23,18,7,2,0,6,4,15,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4119401,0.4165616549,0.788122012
minecraft:grass_block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,300,744,1615,232923,115589,116355,290960,304866,326778,347377,363177,355993,152090,140859,127362,109598,94145,79541,67131,59909,51278,43962,38918,34128,29779,25649,22266,20952,21229,19600,18410,17604,16543,14773,13061,11521,14929,13148,11027,9552,8813,7815,6560,4946,6999,6467,5091,4130,2991,2328,1378,782,441,298,258,94,100,115,169,172,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3795804,0.3838389116,0.7262115743
minecraft:flowing_lava,0,962,126555,198884,275108,356256,368943,377250,385365,388261,380388,4351,4142,4011,3408,4753,3501,3120,3854,3080,3768,3679,2998,3765,3877,3388,3042,3301,2903,3202,2779,2531,3244,2400,2521,2444,2193,1957,2238,2382,1980,1937,2384,2245,2486,1645,2226,1938,1718,2169,1787,1735,1562,1797,1715,916,1286,1048,875,922,612,913,872,209,68,122,200,66,93,266,43,72,27,65,4,4,2,1,0,0,0,0,14,56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2988885,0.3022417293,0.5718321814
