id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,total,percent_of_total,percent_excluding_air
minecraft:air,0,1498,538,294,235,250,360,444,503,461,493,98519,103161,103873,104476,105689,105864,104491,103181,103154,101022,97192,94006,92144,90614,89864,86708,83609,82366,80886,78754,76986,74694,72897,71546,70709,69391,66985,64466,62676,61386,60218,58451,57528,56725,56387,55906,54365,52942,51997,50027,47023,43429,39771,36507,33886,31491,28786,26743,24407,23035,21965,21588,21354,748976,777798,802953,829648,856177,885512,921578,963549,1017198,1040739,1070007,1109957,1153484,1193815,1228535,1257155,1280804,1298149,1315420,1331981,1346837,1358465,1366813,1373838,1380898,1389838,1398043,1404572,1409558,1413438,1417113,1420438,1422926,1428247,1432595,1435319,1437082,1438412,1439620,1440517,1440872,1442465,1443881,1444875,1445864,1446419,1446893,1447503,1448028,1449191,1450258,1450845,1451150,1451669,1452673,1453176,1453180,1453531,1454066,1454474,1454750,1455025,1455166,1455269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87600143,46.9832022454,N/A
minecraft:stone,242598,474899,653436,841237,1028795,1227604,1225982,1225341,1224927,1225213,1225614,1224507,1224300,1223067,1222253,1220932,1221626,1224418,1225195,1223495,1224138,1227796,1232080,1233875,1236434,1239577,1243927,1246238,1246595,1245880,1247158,1249882,1252008,1254476,1255843,1255949,1256383,1257865,1260380,1262200,1262589,1263692,1266561,1270536,1273155,1272178,1271206,1271782,1272590,1266949,1239173,1182310,1106321,1034853,983214,939431,891565,840594,781525,724304,666216,622196,592235,562926,536317,506990,471960,430705,387583,353196,326098,294653,260177,225604,189215,158294,136066,122268,111667,101701,92143,83870,77393,71582,65345,57570,50427,44266,39531,35385,32222,29808,26973,23507,19629,16366,14716,13549,12658,11923,11178,10562,10198,9764,9330,8779,8356,7937,7432,6797,5874,5224,4556,3832,2932,2370,2240,1989,1811,1738,1541,1400,1268,1130,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76951981,41.2721984541,77.8473996962
minecraft:dirt,0,5956,19088,39251,59833,74358,73972,73013,72678,72384,72020,72436,72055,72848,73376,73869,73888,72813,72596,73797,75495,75662,74798,74459,73650,71945,70481,70486,71236,72930,73662,73385,72941,72591,72398,72706,73462,73605,74776,75535,76826,76682,75740,73640,71789,72153,72609,72526,73751,81580,113195,174874,257283,329051,349953,301630,220760,214720,195177,167107,134670,127374,116101,83147,96669,114865,121591,135689,149623,146331,129456,105031,111265,116842,117448,108481,92392,70348,51192,38128,33829,31079,27478,24368,22660,23545,24868,25069,21681,18187,15235,12807,11464,11462,12895,14327,11496,8185,5814,4345,3636,3338,3377,3697,3824,3198,2586,2013,1911,2124,2586,2876,2504,2200,2513,2586,2159,1380,900,910,860,661,574,528,1370,1426,1323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8341977,4.4741113324,8.4390448347
minecraft:water,0,0,0,0,0,0,0,0,5,5,20,5465,964,848,1006,801,990,832,832,753,696,938,665,816,755,654,505,452,534,395,593,378,424,315,443,499,284,359,292,300,315,317,238,173,248,269,154,176,169,193,190,171,937,7628,44760,141227,269309,310258,356119,407157,462203,520300,583689,658554,8,7,2,27,37,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3787686,2.0314763342,3.8317597823
minecraft:bedrock,1214019,971769,727493,484763,242967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3641011,1.9528090975,3.6833780616
minecraft:gravel,0,1456,9281,19483,28994,35526,35413,34813,34083,32941,33404,34807,35977,35761,35317,35035,34431,34127,34491,35292,35376,35246,35138,34936,34991,34971,35184,35810,35821,36097,36117,36121,36205,36000,36154,36669,37147,37629,36929,36449,36423,36407,35696,34820,34849,35508,36714,37789,37455,36434,35088,34175,31942,29171,26887,25768,24385,23076,22558,22610,23273,23634,22179,18099,16373,14655,13721,12434,11259,10206,9448,8563,7710,6450,5340,4280,3821,3407,2774,2571,2561,2603,2367,2021,1775,1639,1510,1287,1154,951,701,672,586,544,447,357,263,157,137,258,357,443,404,339,233,186,161,135,156,183,198,162,127,104,63,34,52,76,90,72,51,39,32,45,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2183333,1.1710023796,2.2087384173
minecraft:coal_ore,0,746,3432,7529,10837,13123,13022,12959,12572,12672,13064,12993,12562,12599,12465,12413,12363,12524,12952,12897,12726,12676,12808,12926,12640,12317,12503,12528,12896,13144,13047,12744,13055,12900,12972,13216,13251,13211,12752,12819,12378,12596,13213,13035,13101,13494,13447,13296,13160,13015,12554,11872,10987,10786,10296,9717,8835,8168,8134,7359,6561,6254,6165,5948,5504,5317,5024,4604,3676,3325,3344,3103,2767,2281,1889,1611,1300,1132,1085,1073,936,708,661,673,663,613,469,444,474,469,440,351,338,355,240,171,175,164,129,75,113,137,145,118,111,85,100,94,71,87,109,88,63,53,44,45,55,44,20,11,10,11,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782439,0.4196510248,0.7915435156
minecraft:grass_block,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,79,182,169,27187,12241,12507,31406,30440,32867,39971,45051,56918,28977,31592,38111,42062,40026,37390,31211,23695,13758,10932,10165,9092,8170,7017,6187,6206,8280,7903,6564,5237,4436,3654,2976,2314,4803,4617,3356,2237,1527,1232,1001,846,1280,1219,1047,1058,664,494,464,450,1124,1085,675,577,633,1076,732,226,424,355,235,175,168,152,130,1371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710411,0.3810197398,0.7186773927
minecraft:sand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,16,21,25,31,124,5715,26847,62461,99848,137085,131368,111436,76528,37261,17947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706727,0.3790438741,0.7149505254
minecraft:flowing_lava,23,0,29217,42029,55636,69856,71481,73696,75879,76616,73526,76,81,70,68,58,37,62,41,40,26,30,29,36,40,39,26,32,27,29,23,17,18,13,17,11,8,8,12,7,13,11,4,6,11,7,6,9,1,1,8,13,6,8,7,0,2,4,1,4,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569070,0.3052133248,0.5756917388
